2023-03-22 10:39:35\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 10:39:36\t500\tGET /api/login/oauth2/code/kakao?code=pNZSlaHmVBNyPfd_HOiCIwHuwdTqOmzqf9w0-BtklOeJ-xwf8i7seLS3UaoVUIU5QARwyQo9cuoAAAGHBvi39A&state=DpRu6Fp2ZauYt-5cfSPMhLiv-cvlIAq_1OIzHcdyzvc%3D HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 10:42:30\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 10:42:30\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 10:42:31\t500\tGET /api/login/oauth2/code/kakao?code=5tUDaROR5G9AYvZPZpu2FxSOkgGcLzSSjH8OD5lXDJOC4IIuxwClmsjm3xDNt0ETLLkEMgo9dZoAAAGHBvtiLA&state=OXfTtFxXx9NpV1NkMk3VkN5XGWIpSCG49owx1GAyozo%3D HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 10:44:51\t302\tGET /api/login/oauth2/code/kakao?code=5tUDaROR5G9AYvZPZpu2FxSOkgGcLzSSjH8OD5lXDJOC4IIuxwClmsjm3xDNt0ETLLkEMgo9dZoAAAGHBvtiLA&state=OXfTtFxXx9NpV1NkMk3VkN5XGWIpSCG49owx1GAyozo%3D HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 10:44:51\t404\tGET /api/login?error HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 10:46:29\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 10:46:30\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-22 10:46:31\t500\tGET /api/login/oauth2/code/kakao?code=PjlctKImYw1FCCpljZHek8je9uFjV8dwbwMJDlqKdFus1akiRLo_OTu11KzVD2eeaS-BjAo9c5oAAAGHBv8MZQ&state=RzOr5sEAeQd8ajbhlVuD1IOU5aMgymme_rE8cWfNWoI%3D HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-22 10:46:32\t302\tGET /api/login/oauth2/code/kakao?code=PjlctKImYw1FCCpljZHek8je9uFjV8dwbwMJDlqKdFus1akiRLo_OTu11KzVD2eeaS-BjAo9c5oAAAGHBv8MZQ&state=RzOr5sEAeQd8ajbhlVuD1IOU5aMgymme_rE8cWfNWoI%3D HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
